Training Size,Time to Train Adaboost,Time to Predict with Adaboost,Accuracy,Iterations
60000,1.016367197,0.046067953,0.1994,1
60000,17.78100181,0.174052954,0.6915,21
60000,34.027668,0.236465931,0.7364,41
60000,49.05937696,0.44878602,0.722,61
60000,64.79176593,0.424051046,0.7293,81
60000,79.853863,0.517076969,0.7306,101
60000,95.14635205,0.728410959,0.7325,121
60000,112.7396948,0.729927063,0.7338,141
60000,125.864491,0.841385841,0.7276,161
60000,246.7365758,0.841042042,0.7193,181
60000,149.9451709,0.889437199,0.721,201
60000,164.3925381,1.246809959,0.7105,221
60000,185.915894,1.435508966,0.709,241
60000,207.7792552,1.464308977,0.699,261
60000,224.8193741,1.649271965,0.6956,281
60000,243.1145682,1.75306201,0.7007,301
60000,251.9623401,1.699647188,0.6935,321
60000,258.1404428,1.881165028,0.6868,341
60000,1063.851302,2.097770214,0.6944,361
