Training Size,Time to Train DT,Accuracy,Number of Nodes
6000,0.881606102,0.7962,1319
9000,1.490098953,0.8076,1879
12000,2.308027029,0.8265,2377
15000,3.001958132,0.8352,2773
18000,3.988683939,0.8396,3245
21000,4.825297117,0.8337,3707
24000,5.771070004,0.8476,3921
27000,6.561593056,0.8522,4377
30000,7.483042002,0.8542,4699
33000,8.729331017,0.8516,5077
36000,8.507005215,0.8591,5363
39000,8.946583986,0.8667,5687
42000,11.07862496,0.8649,6081
45000,12.34435987,0.867,6319
48000,13.35110116,0.8749,6641
50999,14.7161541,0.8739,7013
54000,15.83705497,0.8756,7329
57000,14.92525911,0.8755,7515
60000,17.11945915,0.8763,7875
