Training Size,Time to Train with KNN,Time to Predict with KNN,Accuracy
6000,0.445580006,122.7824120520.7962,0.9379
9000,0.875422001,152.707937,0.9466
12000,0.913983107,146.9987679,0.9516
15000,1.349318028,175.209033,0.9538
18000,1.850396156,210.760793,0.9563
21000,1.936210155,236.01424,0.9592
24000,3.079584837,309.3597698,0.961
27000,2.997648954,326.497359,0.9618
30000,4.353632927,328.7968829,0.9629
33000,4.43918705,411.5293169,0.9637
36000,5.755869865,489.780302,0.9651
39000,6.965035915,502.858644,0.9665
42000,9.269287825,1501.674737,0.9672
45000,10.33642197,1137.232171,0.9671
48000,8.403571844,1110.386398,0.9673
50999,130.9957619,478.626718,0.9672
54000,10.72599316,875.6461699,0.9685
57000,17.58273888,688.9724789,0.9692
60000,59.55521822,590.524632,0.9691
